MonthOfTravel,DayOfTravel,OverSeasPort,customs_port_code,passenger_type_code,direction_code,clnpr_code,overseas_state_code,main_country_visited_code,AgeAtTravelRange,sex_code,losa_range,travel_purpose_code,occupation_code,ta_code,TotalPassengerMovements
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,F,less than 7 days,V,unavailable,unavailable,726
202001,unavailable,ZZS,AKL,V,A,US,unavailable,unavailable,65 - 74 years,F,less than 7 days,H,unavailable,unavailable,684
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,45 - 54 years,M,less than 7 days,B,unavailable,unavailable,681
202001,unavailable,SHA,AKL,V,A,CN,unavailable,unavailable,35 - 44 years,F,8 - 14 days,H,unavailable,unavailable,672
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,F,less than 7 days,V,unavailable,unavailable,669
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,M,less than 7 days,B,unavailable,unavailable,648
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,M,less than 7 days,V,unavailable,unavailable,609
202001,unavailable,SEL,AKL,V,A,KR,unavailable,unavailable,55 - 64 years,F,less than 7 days,H,unavailable,unavailable,600
202001,unavailable,SHA,AKL,V,A,CN,unavailable,unavailable,25 - 34 years,F,8 - 14 days,H,unavailable,unavailable,597
202001,unavailable,ZZS,AKL,V,A,US,unavailable,unavailable,65 - 74 years,M,less than 7 days,H,unavailable,unavailable,591
202001,unavailable,SYD,ZQN,V,A,AU,unavailable,unavailable,25 - 34 years,F,less than 7 days,H,unavailable,unavailable,552
202001,unavailable,SEL,AKL,V,A,KR,unavailable,unavailable,45 - 54 years,F,less than 7 days,H,unavailable,unavailable,543
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,M,less than 7 days,V,unavailable,unavailable,543
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,45 - 54 years,M,less than 7 days,B,unavailable,unavailable,543
202001,unavailable,SHA,AKL,V,A,CN,unavailable,unavailable,35 - 44 years,M,8 - 14 days,H,unavailable,unavailable,528
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,M,less than 7 days,V,unavailable,unavailable,504
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,M,less than 7 days,B,unavailable,unavailable,495
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,F,less than 7 days,H,unavailable,unavailable,486
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,F,less than 7 days,V,unavailable,unavailable,477
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,45 - 54 years,F,less than 7 days,V,unavailable,unavailable,474
202001,unavailable,SYD,ZQN,V,A,AU,unavailable,unavailable,25 - 34 years,M,less than 7 days,H,unavailable,unavailable,459
202001,unavailable,SEL,AKL,V,A,KR,unavailable,unavailable,55 - 64 years,M,less than 7 days,H,unavailable,unavailable,441
202001,unavailable,SHA,AKL,V,A,CN,unavailable,unavailable,25 - 34 years,M,8 - 14 days,H,unavailable,unavailable,435
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,55 - 64 years,F,less than 7 days,V,unavailable,unavailable,414
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,45 - 54 years,M,less than 7 days,V,unavailable,unavailable,414
202001,unavailable,SYD,ZQN,V,A,AU,unavailable,unavailable,35 - 44 years,M,less than 7 days,H,unavailable,unavailable,411
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,M,less than 7 days,V,unavailable,unavailable,414
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,M,less than 7 days,H,unavailable,unavailable,399
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,F,less than 7 days,V,unavailable,unavailable,399
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,M,less than 7 days,B,unavailable,unavailable,396
202001,unavailable,SYD,ZQN,V,A,AU,unavailable,unavailable,45 - 54 years,F,less than 7 days,H,unavailable,unavailable,390
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,55 - 64 years,M,less than 7 days,B,unavailable,unavailable,384
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,35 - 44 years,M,less than 7 days,H,unavailable,unavailable,384
202001,unavailable,SYD,AKL,V,A,AU,unavailable,unavailable,45 - 54 years,F,less than 7 days,H,unavailable,unavailable,384
202001,unavailable,MEL,AKL,V,A,AU,unavailable,unavailable,25 - 34 years,F,8 - 14 days,V,unavailable,unavailable,384
