"Date","Price"
2013-12-01,124.32
2014-01-01,122.64
2014-02-01,124.74
2014-03-01,121.38
2014-04-01,121.38
2014-05-01,120.54
2014-06-01,120.96
2014-07-01,118.44
2014-08-01,119.28
2014-09-01,114.66
2014-10-01,103.32
2014-11-01,96.60000004
2014-12-01,75.60000003
2015-01-01,63.00000003
2015-02-01,74.34000003
2015-03-01,68.46000003
2015-04-01,71.40000003
2015-05-01,77.70000003
2015-06-01,72.66000003
2015-07-01,65.10000003
2015-08-01,58.38000002
2015-09-01,58.80000002
2015-10-01,58.38000002
2015-11-01,55.86000002
2015-12-01,45.36000002
2016-01-01,39.06000002
2016-02-01,40.74000002
2016-03-01,44.94000002
2016-04-01,48.30000002
2016-05-01,54.60000002
2016-06-01,57.96000002
2016-07-01,53.34000002
2016-08-01,54.60000002
2016-09-01,55.44000002
2016-10-01,61.32000002
2016-11-01,57.12000002
2016-12-01,62.58000003
2017-01-01,63.42000003
2017-02-01,65.10000003
2017-03-01,60.90000002
2017-04-01,63.42000003
2017-05-01,59.22000002
2017-06-01,54.60000002
2017-07-01,59.64000002
2017-08-01,65.52000003
2017-09-01,75.60000003
2017-10-01,69.72000003
2017-11-01,73.92000003
2017-12-01,76.44000003
2018-01-01,81.90000003
2018-02-01,77.70000003
2018-03-01,78.12000003
2018-04-01,84.84000003
2018-05-01,90.72000004
2018-06-01,87.78000004
2018-07-01,88.20000004
2018-08-01,89.04000004
2018-09-01,91.98000004
2018-10-01,94.50000004
2018-11-01,81.90000003
2018-12-01,71.40000003
2019-01-01,74.76000003
2019-02-01,80.22000003
2019-03-01,79.80000003
2019-04-01,83.16000003
2019-05-01,82.74000003
2019-06-01,76.44000003
2019-07-01,80.22000003
2019-08-01,75.60000003
2019-09-01,78.96000003
2019-10-01,78.12000003
2019-11-01,76.44000003
2019-12-01,79.38000003
2020-01-01,74.76000003
2020-02-01,63.42000003
2020-03-01,39.90000002
2020-04-01,25.62000001
2020-05-01,28.98000001
2020-06-01,41.16000002
2020-07-01,45.36000002
2020-08-01,46.62000002
2020-09-01,42.42000002
2020-10-01,44.10000002
2020-11-01,47.46000002
2020-12-01,55.44000002
2021-01-01,59.64000002
2021-02-01,67.20000003
2021-03-01,69.72000003
2021-04-01,70.14000003
2021-05-01,73.50000003
2021-06-01,78.12000003
2021-07-01,79.38000003
2021-08-01,76.44000003
2021-09-01,84.00000003
2021-10-01,96.60000004
2021-11-01,91.98000004
2021-12-01,88.20000004
2022-01-01,102.9
2022-02-01,112.56
2022-03-01,147.0000001
2022-04-01,164.2200001
2022-05-01,163.8000001
2022-06-01,173.0400001
2022-07-01,146.1600001
2022-08-01,140.2800001
2022-09-01,136.9200001
2022-10-01,156.2400001
2022-11-01,132.7200001
2022-12-01,121.8
2023-01-01,148.6800001
2023-02-01,117.18
2023-03-01,112.56
2023-04-01,99.54000004
2023-05-01,91.14000004
2023-06-01,94.50000004
2023-07-01,104.58
2023-08-01,125.5800001
2023-09-01,131.0400001
2023-10-01,120.96
2023-11-01,114.66
2023-12-01,100.38
2024-01-01,108.78
2024-02-01,112.56
2024-03-01,108.78
2024-04-01,109.62
2024-05-01,99.96000004
2024-06-01,100.38
2024-07-01,101.64
2024-08-01,91.56000004
2024-09-01,83.16000003
2024-10-01,86.94000003
2024-11-01,86.94000003
2024-12-01,88.20000004
2025-01-01,98.70000004
2025-02-01,94.92000004
2025-03-01,86.94000003
2025-04-01,83.160000033264
2025-05-01,81.060000032424
2025-06-01,87.780000035112
