Data,ID,Name,Class_1,Class_2,Class_3,Unit,Dim,Tick,Palette,ColourKey,Style,Prefix
hm5,GDE.Q.EG13.nay,Government Consumption (Nominal y/y%),Consumption expenditureNominal y/y%,Consumption expenditure,Government Consumption (Nominal y/y%),%,y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EG13.RA,Government Consumption (Real $m),Consumption expenditureReal $m,Consumption expenditure,Government Consumption (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EG13.RS,Government Consumption (Real $m s.a.),Consumption expenditureReal $m s.a.,Consumption expenditure,Government Consumption (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EG13.rsq,Government Consumption (Real q/q% s.a.),Consumption expenditureReal q/q% s.a.,Consumption expenditure,Government Consumption (Real q/q% s.a.),%(r) s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EG13.ray,Government Consumption (Real y/y%),Consumption expenditureReal y/y%,Consumption expenditure,Government Consumption (Real y/y%),%(r),y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EI23.NA,Change in inventories (Nominal $m),Change in inventoriesNominal $m,Change in inventories,Change in inventories (Nominal $m),NZDm,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI23.NS,Change in inventories (Nominal $m s.a.),Change in inventoriesNominal $m s.a.,Change in inventories,Change in inventories (Nominal $m s.a.),NZDm s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI23.RA,Change in inventories (Real $m),Change in inventoriesReal $m,Change in inventories,Change in inventories (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI23.RS,Change in inventories (Real $m s.a.),Change in inventoriesReal $m s.a.,Change in inventories,Change in inventories (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI24.NA,GFCF - Residential (Nominal $m),Gross fixed capital formationNominal $m,Gross fixed capital formation,GFCF - Residential (Nominal $m),NZDm,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EI24.NS,GFCF - Residential (Nominal $m s.a.),Gross fixed capital formationNominal $m s.a.,Gross fixed capital formation,GFCF - Residential (Nominal $m s.a.),NZDm s.a.,$m,",d",qual,number,Line,NA
