Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/10/2005,Fiordland,Total,30.00,1539.00,47709.00,29.07,24754.00,16969.00,13871.00,8377.00,16377.00
1/12/2001,Ruapehu,Total,41.00,1791.00,55521.00,18.69,18358.00,11332.00,10376.00,8401.00,9956.00
1/11/2003,Ruapehu,Total,37.00,1512.00,45360.00,25.87,20412.00,13707.00,11733.00,8401.00,12012.00
1/05/2002,Wanaka,Total,39.00,2169.00,67239.00,15.73,18390.00,10285.00,10576.00,8402.00,9988.00
1/06/2013,Waitaki,Total,44.00,1702.00,51060.00,13.74,11452.00,8062.00,7013.00,8426.00,3026.00
1/09/2011,Wanganui,Total,31.00,971.00,29130.00,22.56,11603.00,7460.00,6571.00,8432.00,3171.00
1/06/2012,Wanganui,Total,31.00,982.00,29460.00,17.63,9314.00,5699.00,5194.00,8433.00,882.00
1/06/2010,Waitaki,Total,43.00,1540.00,46200.00,14.43,11014.00,7372.00,6666.00,8447.00,2568.00
1/10/2003,Fiordland,Total,30.00,1643.00,50933.00,33.07,29398.00,18140.00,16846.00,8449.00,20948.00
1/07/2003,MaCkenzie,Total,25.00,1154.00,35774.00,21.72,15157.00,11085.00,7769.00,8455.00,6702.00
1/11/2005,Wanaka,Total,43.00,2200.00,66000.00,31.07,33031.00,20741.00,20506.00,8455.00,24576.00
1/06/2014,MaCkenzie,Total,32.00,1667.00,50010.00,26.65,21649.00,16802.00,13329.00,8456.00,13193.00
1/05/2016,Whakatane-Kawerau,Total,35.00,1703.00,52793.00,12.14,10864.00,5962.00,6410.00,8462.00,2401.00
1/08/2012,Central Otago,Total,55.00,2829.00,87699.00,6.71,10158.00,5848.00,5882.00,8464.00,1694.00
1/05/2016,Central Otago,Total,58.00,2955.00,91605.00,8.81,12353.00,5288.00,8072.00,8468.00,3885.00
1/09/2011,Whakatane-Kawerau,Total,32.00,1482.00,44460.00,12.97,10403.00,5863.00,5767.00,8470.00,1934.00
1/08/2012,Wairarapa,Total,35.00,1257.00,38967.00,13.52,9319.00,5180.00,5270.00,8472.00,847.00
1/05/2013,Whakatane-Kawerau,Total,32.00,1490.00,46190.00,13.14,10162.00,5059.00,6069.00,8472.00,1690.00
1/07/2003,Timaru,Total,45.00,1229.00,38099.00,17.37,11601.00,7374.00,6619.00,8488.00,3113.00
1/06/2004,Wanaka,Total,39.00,2082.00,62460.00,18.58,19519.00,10266.00,11603.00,8496.00,11023.00
1/08/2008,Wairarapa,Total,38.00,1329.00,41199.00,13.09,9525.00,5838.00,5394.00,8516.00,1010.00
1/12/2002,Ruapehu,Total,40.00,1622.00,50282.00,24.15,21744.00,14037.00,12145.00,8525.00,13220.00
1/01/2007,Clutha,Total,29.00,658.00,20398.00,29.72,13025.00,6160.00,6062.00,8536.00,4489.00
1/08/2015,Central Otago,Total,53.00,2680.00,83080.00,7.48,9896.00,5057.00,6212.00,8537.00,1359.00
1/01/2017,Clutha,Total,32.00,680.00,21080.00,36.96,14163.00,8051.00,7791.00,8545.00,5618.00
1/06/2011,Kapiti-Horowhenua,Total,47.00,1668.00,50040.00,12.03,9800.00,5808.00,6021.00,8546.00,1254.00
1/07/2013,Wanganui,Total,31.00,970.00,30070.00,18.82,10225.00,6382.00,5659.00,8572.00,1654.00
1/11/2001,Wanaka,Total,37.00,2042.00,61260.00,24.65,27344.00,17273.00,15099.00,8581.00,18755.00
1/08/2007,Central Otago,Total,51.00,2706.00,83886.00,10.10,14574.00,7377.00,8470.00,8591.00,5983.00
1/07/2005,Whakatane-Kawerau,Total,29.00,1261.00,39091.00,16.78,10774.00,5747.00,6559.00,8615.00,2159.00
