Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/02/2003,Gisborne,Total,55.00,2567.00,71876.00,21.73,29546.00,17212.00,15619.00,0.00,0.00
1/12/2002,Waitaki,Total,42.00,4556.00,141236.00,11.12,31010.00,19620.00,15701.00,0.00,0.00
1/03/2003,Gisborne,Total,55.00,2457.00,76167.00,20.77,29161.00,16836.00,15823.00,0.00,0.00
1/12/2004,Waitaki,Total,42.00,4557.00,141267.00,11.26,32204.00,20526.00,15902.00,0.00,0.00
1/03/2007,Kapiti-Horowhenua,Total,50.00,1765.00,54715.00,29.77,23845.00,13322.00,16287.00,0.00,0.00
1/11/2004,Waitaki,Total,42.00,4557.00,136710.00,12.05,26814.00,17455.00,16469.00,0.00,0.00
1/03/2004,Waitaki,Total,40.00,4518.00,140058.00,11.94,32888.00,23210.00,16726.00,0.00,0.00
1/02/2006,Gisborne,Total,60.00,2576.00,72128.00,23.56,31697.00,17441.00,16996.00,0.00,0.00
1/02/2003,Waitaki,Total,42.00,4564.00,127792.00,13.42,36187.00,24115.00,17149.00,0.00,0.00
1/12/2003,Waitaki,Total,41.00,4537.00,140647.00,12.42,37878.00,23171.00,17469.00,0.00,0.00
1/03/2006,Gisborne,Total,59.00,2567.00,79577.00,21.96,30941.00,16786.00,17472.00,0.00,0.00
1/11/2001,MaCkenzie,Total,27.00,1334.00,40020.00,43.83,32282.00,25766.00,17539.00,0.00,0.00
1/02/2004,Waitaki,Total,40.00,4527.00,131283.00,13.47,35247.00,25222.00,17689.00,0.00,0.00
1/03/2006,Waitaki,Total,43.00,4611.00,142941.00,12.63,33509.00,24174.00,18048.00,0.00,0.00
1/03/2001,Gisborne,Total,55.00,2514.00,77934.00,23.25,32744.00,16784.00,18120.00,0.00,0.00
1/11/2002,MaCkenzie,Total,27.00,1341.00,40230.00,45.46,33198.00,25955.00,18289.00,0.00,0.00
1/03/2005,Gisborne,Total,58.00,2493.00,77283.00,23.79,32869.00,17757.00,18383.00,0.00,0.00
1/03/2007,Waitaki,Total,43.00,4679.00,145049.00,12.74,33875.00,25133.00,18475.00,0.00,0.00
1/11/2003,MaCkenzie,Total,28.00,1380.00,41400.00,44.92,33419.00,28924.00,18595.00,0.00,0.00
1/03/2007,Gisborne,Total,60.00,2589.00,80259.00,23.34,32638.00,17030.00,18732.00,0.00,0.00
1/11/2004,MaCkenzie,Total,27.00,1389.00,41670.00,45.06,33917.00,29967.00,18775.00,0.00,0.00
1/02/2004,Gisborne,Total,54.00,2350.00,68150.00,27.69,36690.00,18785.00,18873.00,0.00,0.00
1/11/2006,MaCkenzie,Total,30.00,1641.00,49230.00,38.35,32744.00,27945.00,18880.00,0.00,0.00
1/02/2006,Waitaki,Total,43.00,4611.00,129108.00,14.67,35743.00,27132.00,18935.00,0.00,0.00
1/02/2001,Gisborne,Total,55.00,2514.00,70392.00,26.91,34912.00,17374.00,18944.00,0.00,0.00
1/02/2005,Waitaki,Total,43.00,4572.00,128016.00,14.91,35771.00,25969.00,19085.00,0.00,0.00
1/03/2002,Gisborne,Total,56.00,2565.00,79515.00,24.24,34679.00,19582.00,19272.00,0.00,0.00
1/11/2005,MaCkenzie,Total,30.00,1547.00,46410.00,41.70,34135.00,29740.00,19352.00,0.00,0.00
1/03/2004,Gisborne,Total,54.00,2350.00,72850.00,26.61,35249.00,20206.00,19384.00,0.00,0.00
1/12/2004,Gisborne,Total,54.00,2332.00,72292.00,26.89,45056.00,21470.00,19440.00,0.00,0.00
1/03/2005,Waitaki,Total,43.00,4574.00,141794.00,13.73,38200.00,25710.00,19475.00,0.00,0.00
1/03/2002,Waitaki,Total,43.00,4612.00,142972.00,13.68,39349.00,27347.00,19559.00,0.00,0.00
1/02/2007,Waitaki,Total,43.00,4679.00,131012.00,15.11,37672.00,27582.00,19793.00,0.00,0.00
1/03/2001,MaCkenzie,Total,27.00,1308.00,40548.00,49.04,36558.00,28560.00,19886.00,0.00,0.00
1/12/2001,MaCkenzie,Total,27.00,1334.00,41354.00,48.23,41229.00,30557.00,19947.00,0.00,0.00
1/12/2001,Gisborne,Total,55.00,2477.00,76787.00,26.03,45944.00,19060.00,19985.00,0.00,0.00
1/12/2002,Gisborne,Total,55.00,2539.00,78709.00,25.40,43862.00,19577.00,19989.00,0.00,0.00
1/12/2003,Gisborne,Total,55.00,2389.00,74059.00,27.08,45924.00,21312.00,20052.00,0.00,0.00
1/12/2002,Manawatu,Total,93.00,2679.00,83049.00,24.26,34743.00,21030.00,20145.00,0.00,0.00
1/02/2007,Gisborne,Total,60.00,2587.00,72436.00,27.94,35682.00,18781.00,20236.00,0.00,0.00
1/12/2004,MaCkenzie,Total,27.00,1393.00,43183.00,46.99,39856.00,33492.00,20290.00,0.00,0.00
1/06/2001,Manawatu,Total,88.00,2368.00,71040.00,28.65,33796.00,20413.00,20350.00,0.00,0.00
1/02/2002,MaCkenzie,Total,27.00,1349.00,37772.00,53.98,38725.00,31579.00,20388.00,0.00,0.00
1/02/2001,MaCkenzie,Total,27.00,1308.00,36624.00,56.15,37982.00,29830.00,20566.00,0.00,0.00
1/12/2005,Gisborne,Total,59.00,2587.00,80197.00,25.83,45233.00,20379.00,20714.00,0.00,0.00
1/12/2003,Manawatu,Total,93.00,2312.00,71672.00,28.98,37967.00,22477.00,20771.00,0.00,0.00
1/02/2002,Gisborne,Total,56.00,2565.00,71820.00,29.01,37473.00,18601.00,20836.00,0.00,0.00
1/06/2003,Manawatu,Total,92.00,2504.00,75120.00,27.84,32767.00,19576.00,20917.00,0.00,0.00
1/12/2002,MaCkenzie,Total,27.00,1341.00,41571.00,50.72,42425.00,30666.00,21084.00,0.00,0.00
1/06/2002,Manawatu,Total,90.00,2549.00,76470.00,27.77,35391.00,21898.00,21237.00,0.00,0.00
1/12/2001,Manawatu,Total,93.00,2520.00,78120.00,27.26,40180.00,22706.00,21298.00,0.00,0.00
1/12/2005,MaCkenzie,Total,30.00,1547.00,47957.00,44.61,41845.00,32808.00,21392.00,0.00,0.00
1/08/2002,Bay of Plenty ,Total,89.00,4375.00,135625.00,15.83,38654.00,17480.00,21472.00,0.00,0.00
1/09/2001,Manawatu,Total,91.00,2396.00,71880.00,29.94,36881.00,21853.00,21524.00,0.00,0.00
1/08/2001,Bay of Plenty ,Total,92.00,4381.00,135811.00,15.88,38952.00,18569.00,21571.00,0.00,0.00
1/08/2001,Manawatu,Total,93.00,2448.00,75888.00,28.45,35798.00,21696.00,21589.00,0.00,0.00
1/03/2003,MaCkenzie,Total,27.00,1329.00,41199.00,52.88,39364.00,32717.00,21787.00,0.00,0.00
1/03/2005,MaCkenzie,Total,27.00,1395.00,43245.00,50.50,40442.00,33879.00,21838.00,0.00,0.00
1/12/2006,Gisborne,Total,58.00,2537.00,78647.00,27.85,47101.00,18513.00,21907.00,0.00,0.00
1/03/2002,MaCkenzie,Total,27.00,1346.00,41726.00,52.93,43600.00,32702.00,22084.00,0.00,0.00
1/02/2005,MaCkenzie,Total,27.00,1394.00,39032.00,57.16,41160.00,35931.00,22309.00,0.00,0.00
1/12/2006,Manawatu,Total,96.00,2246.00,69626.00,32.05,40257.00,23255.00,22313.00,0.00,0.00
1/12/2005,Manawatu,Total,95.00,2220.00,68820.00,32.69,40250.00,23217.00,22499.00,0.00,0.00
1/02/2003,MaCkenzie,Total,27.00,1359.00,38052.00,59.47,42373.00,34575.00,22631.00,0.00,0.00
1/09/2002,Bay of Plenty ,Total,88.00,4369.00,131070.00,17.39,43226.00,20694.00,22799.00,0.00,0.00
1/06/2001,Bay of Plenty ,Total,93.00,4385.00,131550.00,17.36,41365.00,20343.00,22833.00,0.00,0.00
1/03/2004,MaCkenzie,Total,27.00,1402.00,43462.00,52.98,43538.00,34606.00,23027.00,0.00,0.00
1/03/2006,MaCkenzie,Total,30.00,1590.00,49290.00,46.83,42380.00,32607.00,23082.00,0.00,0.00
1/06/2007,Manawatu,Total,98.00,2260.00,67800.00,34.05,36823.00,22176.00,23088.00,0.00,0.00
1/09/2001,Bay of Plenty ,Total,92.00,4381.00,131430.00,17.64,43244.00,21061.00,23182.00,0.00,0.00
1/12/2003,MaCkenzie,Total,27.00,1393.00,43183.00,53.83,47993.00,36238.00,23245.00,0.00,0.00
1/12/2004,Manawatu,Total,95.00,2306.00,71486.00,32.54,41821.00,24698.00,23261.00,0.00,0.00
1/02/2001,Manawatu,Total,92.00,2486.00,69608.00,33.51,42321.00,24286.00,23325.00,0.00,0.00
1/08/2002,Manawatu,Total,88.00,2532.00,78492.00,29.76,39687.00,23850.00,23359.00,0.00,0.00
1/05/2001,Manawatu,Total,91.00,2480.00,76880.00,30.43,36963.00,23316.00,23392.00,0.00,0.00
1/06/2002,Bay of Plenty ,Total,90.00,4389.00,131670.00,17.87,43052.00,18719.00,23525.00,0.00,0.00
1/06/2001,West Coast,Total,142.00,4198.00,125940.00,18.71,39728.00,27616.00,23565.00,0.00,0.00
1/11/2001,Manawatu,Total,92.00,2466.00,73980.00,31.89,40782.00,25400.00,23590.00,0.00,0.00
1/08/2003,Bay of Plenty ,Total,92.00,4417.00,136927.00,17.24,43271.00,20095.00,23609.00,0.00,0.00
1/06/2006,Manawatu,Total,96.00,2284.00,68520.00,34.64,37340.00,21623.00,23738.00,0.00,0.00
1/06/2003,Bay of Plenty ,Total,92.00,4486.00,134580.00,17.65,45605.00,18697.00,23755.00,0.00,0.00
1/11/2003,Manawatu,Total,93.00,2401.00,72030.00,33.10,39332.00,24315.00,23844.00,0.00,0.00
1/03/2007,MaCkenzie,Total,30.00,1621.00,50251.00,47.45,42580.00,34777.00,23846.00,0.00,0.00
1/12/2006,MaCkenzie,Total,30.00,1641.00,50871.00,47.84,44133.00,32941.00,24338.00,0.00,0.00
1/05/2001,Bay of Plenty ,Total,94.00,4389.00,136059.00,18.06,41457.00,18717.00,24574.00,0.00,0.00
1/09/2002,Manawatu,Total,89.00,2533.00,75990.00,32.35,43802.00,25583.00,24581.00,0.00,0.00
1/11/2002,Manawatu,Total,93.00,2678.00,80340.00,30.65,40240.00,24413.00,24626.00,0.00,0.00
1/08/2003,Manawatu,Total,94.00,2588.00,80228.00,30.72,42167.00,23612.00,24650.00,0.00,0.00
1/06/2004,Manawatu,Total,95.00,2348.00,70440.00,35.24,39325.00,23290.00,24824.00,0.00,0.00
1/05/2005,Manawatu,Total,96.00,2226.00,69006.00,36.09,40118.00,23767.00,24906.00,0.00,0.00
1/02/2004,MaCkenzie,Total,27.00,1402.00,40658.00,61.87,45617.00,37752.00,25157.00,0.00,0.00
1/05/2002,Manawatu,Total,91.00,2571.00,79701.00,31.62,41997.00,26388.00,25201.00,0.00,0.00
1/05/2003,Manawatu,Total,93.00,2546.00,78926.00,31.97,41949.00,25608.00,25236.00,0.00,0.00
1/02/2006,MaCkenzie,Total,30.00,1590.00,44520.00,56.88,44583.00,37340.00,25321.00,0.00,0.00
1/02/2003,Manawatu,Total,94.00,2691.00,75348.00,33.79,46553.00,28486.00,25462.00,0.00,0.00
1/06/2005,Manawatu,Total,95.00,2225.00,66750.00,38.30,42044.00,24599.00,25562.00,0.00,0.00
1/08/2001,West Coast,Total,143.00,4179.00,129549.00,19.77,42591.00,29538.00,25607.00,0.00,0.00
1/08/2004,Manawatu,Total,95.00,2354.00,72974.00,35.16,41571.00,23904.00,25661.00,0.00,0.00
1/06/2002,West Coast,Total,145.00,4171.00,125130.00,20.55,41045.00,27475.00,25712.00,0.00,0.00
1/02/2002,Manawatu,Total,93.00,2600.00,72800.00,35.48,46531.00,27483.00,25829.00,0.00,0.00
1/09/2003,Manawatu,Total,92.00,2299.00,68970.00,37.60,44388.00,25654.00,25933.00,0.00,0.00
1/05/2003,Bay of Plenty ,Total,91.00,4375.00,135625.00,19.19,48219.00,21454.00,26030.00,0.00,0.00
1/08/2006,Manawatu,Total,93.00,2164.00,67084.00,38.81,40554.00,22789.00,26038.00,0.00,0.00
1/11/2006,Manawatu,Total,96.00,2246.00,67380.00,38.84,41967.00,24947.00,26172.00,0.00,0.00
1/11/2001,Bay of Plenty ,Total,92.00,4292.00,128760.00,20.37,48636.00,24094.00,26234.00,0.00,0.00
1/05/2002,Bay of Plenty ,Total,91.00,4422.00,137082.00,19.20,47990.00,20571.00,26316.00,0.00,0.00
1/11/2004,Manawatu,Total,95.00,2378.00,71340.00,36.97,42711.00,26426.00,26375.00,0.00,0.00
1/09/2005,Manawatu,Total,95.00,2218.00,66540.00,39.70,44623.00,25096.00,26416.00,0.00,0.00
1/05/2004,Manawatu,Total,93.00,2306.00,71486.00,37.03,41376.00,24681.00,26474.00,0.00,0.00
1/06/2004,West Coast,Total,140.00,4513.00,135390.00,19.56,45868.00,32603.00,26487.00,0.00,0.00
1/06/2003,West Coast,Total,137.00,4243.00,127290.00,20.85,41566.00,29729.00,26543.00,0.00,0.00
1/09/2004,Manawatu,Total,94.00,2339.00,70170.00,37.96,46008.00,25925.00,26635.00,0.00,0.00
1/09/2003,Bay of Plenty ,Total,94.00,4458.00,133740.00,19.93,50323.00,23342.00,26656.00,0.00,0.00
1/09/2007,Manawatu,Total,98.00,2317.00,69510.00,38.36,46727.00,25257.00,26666.00,0.00,0.00
1/05/2007,Manawatu,Total,98.00,2260.00,70060.00,38.13,40716.00,23696.00,26717.00,0.00,0.00
1/03/2001,Manawatu,Total,92.00,2486.00,77066.00,34.69,45759.00,27703.00,26738.00,0.00,0.00
1/05/2006,Manawatu,Total,96.00,2284.00,70804.00,37.87,42682.00,25508.00,26817.00,0.00,0.00
1/02/2007,MaCkenzie,Total,30.00,1621.00,45388.00,59.13,49241.00,38896.00,26839.00,0.00,0.00
1/06/2004,Bay of Plenty ,Total,93.00,4239.00,127170.00,21.14,49763.00,21103.00,26889.00,0.00,0.00
1/08/2005,Manawatu,Total,95.00,2225.00,68975.00,39.13,44983.00,25731.00,26989.00,0.00,0.00
1/08/2002,West Coast,Total,144.00,4208.00,130448.00,20.83,43122.00,29796.00,27171.00,0.00,0.00
1/08/2004,Bay of Plenty ,Total,96.00,4496.00,139376.00,19.71,48623.00,22555.00,27472.00,0.00,0.00
1/11/2005,Manawatu,Total,95.00,2210.00,66300.00,41.67,45556.00,26780.00,27625.00,0.00,0.00
1/09/2006,Manawatu,Total,93.00,2161.00,64830.00,42.78,47914.00,26853.00,27732.00,0.00,0.00
1/02/2006,Manawatu,Total,95.00,2221.00,62188.00,44.60,47760.00,27172.00,27734.00,0.00,0.00
1/08/2003,West Coast,Total,141.00,4290.00,132990.00,21.11,47506.00,34431.00,28074.00,0.00,0.00
1/11/2002,Bay of Plenty ,Total,92.00,4396.00,131880.00,21.32,52471.00,26313.00,28119.00,0.00,0.00
1/02/2004,Manawatu,Total,93.00,2305.00,66845.00,42.31,50101.00,29427.00,28284.00,0.00,0.00
1/05/2004,Bay of Plenty ,Total,95.00,4428.00,137268.00,20.62,50638.00,20934.00,28304.00,0.00,0.00
1/08/2005,Bay of Plenty ,Total,100.00,4467.00,138477.00,20.64,51159.00,23767.00,28580.00,0.00,0.00
1/09/2004,Bay of Plenty ,Total,98.00,4526.00,135780.00,21.35,54102.00,24128.00,28993.00,0.00,0.00
1/08/2004,West Coast,Total,142.00,4317.00,133827.00,21.68,50521.00,34137.00,29020.00,0.00,0.00
1/11/2003,Bay of Plenty ,Total,93.00,4355.00,130650.00,22.31,51634.00,26144.00,29143.00,0.00,0.00
1/05/2005,Bay of Plenty ,Total,98.00,4403.00,136493.00,21.40,51129.00,21209.00,29205.00,0.00,0.00
1/06/2005,Bay of Plenty ,Total,99.00,4458.00,133740.00,21.90,53509.00,22621.00,29293.00,0.00,0.00
1/06/2006,West Coast,Total,159.00,4999.00,149970.00,19.79,50870.00,34254.00,29684.00,0.00,0.00
1/02/2005,Manawatu,Total,96.00,2304.00,64512.00,46.42,53554.00,29361.00,29949.00,0.00,0.00
1/03/2005,Manawatu,Total,97.00,2296.00,71176.00,42.35,51986.00,30801.00,30145.00,0.00,0.00
1/03/2003,Manawatu,Total,95.00,2705.00,83855.00,35.96,52675.00,32745.00,30158.00,0.00,0.00
1/09/2005,Bay of Plenty ,Total,100.00,4454.00,133620.00,22.69,55900.00,26169.00,30323.00,0.00,0.00
1/08/2007,Bay of Plenty ,Total,100.00,4901.00,151931.00,19.98,50206.00,22528.00,30352.00,0.00,0.00
1/08/2005,West Coast,Total,148.00,4676.00,144956.00,20.98,49990.00,35649.00,30413.00,0.00,0.00
1/05/2001,West Coast,Total,146.00,4243.00,131533.00,23.26,50573.00,36371.00,30597.00,0.00,0.00
1/06/2006,Bay of Plenty ,Total,97.00,4431.00,132930.00,23.17,52326.00,24654.00,30794.00,0.00,0.00
1/02/2007,Manawatu,Total,97.00,2248.00,62944.00,49.37,54657.00,29716.00,31075.00,0.00,0.00
1/08/2007,Manawatu,Total,98.00,2270.00,70370.00,44.59,51553.00,26718.00,31379.00,0.00,0.00
1/03/2006,Manawatu,Total,95.00,2221.00,68851.00,45.84,51167.00,29498.00,31564.00,0.00,0.00
1/06/2007,West Coast,Total,158.00,5120.00,153600.00,20.60,55313.00,36840.00,31639.00,0.00,0.00
1/08/2006,West Coast,Total,153.00,4856.00,150536.00,21.26,53822.00,37737.00,32007.00,0.00,0.00
1/05/2002,West Coast,Total,147.00,4200.00,130200.00,24.65,50761.00,36455.00,32093.00,0.00,0.00
1/09/2001,West Coast,Total,144.00,4235.00,127050.00,25.35,56740.00,41081.00,32208.00,0.00,0.00
1/06/2005,West Coast,Total,153.00,4837.00,145110.00,22.35,54637.00,39116.00,32438.00,0.00,0.00
1/08/2006,Bay of Plenty ,Total,98.00,4486.00,139066.00,23.36,53557.00,23847.00,32480.00,0.00,0.00
1/03/2002,Manawatu,Total,92.00,2595.00,80445.00,40.38,62360.00,33605.00,32481.00,0.00,0.00
1/03/2004,Manawatu,Total,93.00,2266.00,70246.00,46.69,56094.00,30739.00,32799.00,0.00,0.00
1/05/2006,Bay of Plenty ,Total,96.00,4427.00,137237.00,23.96,55779.00,23745.00,32880.00,0.00,0.00
1/06/2007,Bay of Plenty ,Total,99.00,4671.00,140130.00,23.66,56297.00,24256.00,33153.00,0.00,0.00
1/08/2007,West Coast,Total,157.00,5060.00,156860.00,21.31,58519.00,40257.00,33425.00,0.00,0.00
1/09/2002,West Coast,Total,145.00,4215.00,126450.00,26.62,58279.00,40009.00,33667.00,0.00,0.00
1/03/2007,Manawatu,Total,97.00,2248.00,69688.00,48.35,52594.00,30466.00,33696.00,0.00,0.00
1/06/2001,Northland,Total,239.00,9966.00,298980.00,11.34,58750.00,30491.00,33893.00,0.00,0.00
1/09/2003,West Coast,Total,146.00,4453.00,133590.00,26.37,63461.00,46719.00,35229.00,0.00,0.00
1/05/2003,West Coast,Total,143.00,4417.00,136927.00,25.78,57407.00,43005.00,35294.00,0.00,0.00
1/05/2007,Bay of Plenty ,Total,100.00,4668.00,144708.00,24.67,59524.00,25472.00,35700.00,0.00,0.00
1/09/2005,West Coast,Total,150.00,4726.00,141780.00,25.19,65718.00,45892.00,35717.00,0.00,0.00
1/11/2004,Bay of Plenty ,Total,100.00,4629.00,138870.00,25.78,60520.00,31312.00,35794.00,0.00,0.00
1/11/2005,Bay of Plenty ,Total,101.00,4489.00,134670.00,26.85,62762.00,32124.00,36157.00,0.00,0.00
1/03/2001,Bay of Plenty ,Total,94.00,4389.00,136059.00,26.87,69677.00,32833.00,36555.00,0.00,0.00
1/05/2004,West Coast,Total,145.00,4675.00,144925.00,25.32,59756.00,44981.00,36701.00,0.00,0.00
1/08/2001,Northland,Total,241.00,10189.00,315859.00,11.80,63044.00,32519.00,37266.00,0.00,0.00
1/09/2006,Bay of Plenty ,Total,98.00,4516.00,135480.00,27.65,65408.00,29821.00,37455.00,0.00,0.00
1/09/2007,Bay of Plenty ,Total,102.00,4918.00,147540.00,25.46,66235.00,29344.00,37571.00,0.00,0.00
1/05/2005,West Coast,Total,153.00,4844.00,150164.00,25.05,62824.00,44949.00,37610.00,0.00,0.00
1/06/2002,Northland,Total,238.00,10113.00,303390.00,12.50,64411.00,33677.00,37913.00,0.00,0.00
1/02/2002,Bay of Plenty ,Total,92.00,4298.00,120344.00,31.51,76741.00,32353.00,37925.00,0.00,0.00
1/11/2006,Bay of Plenty ,Total,100.00,4545.00,136350.00,27.91,63536.00,31500.00,38062.00,0.00,0.00
1/09/2006,West Coast,Total,154.00,4870.00,146100.00,26.06,68841.00,49572.00,38070.00,0.00,0.00
1/02/2001,Bay of Plenty ,Total,94.00,4385.00,122780.00,31.01,78180.00,33755.00,38075.00,0.00,0.00
1/03/2003,Bay of Plenty ,Total,91.00,4432.00,137392.00,27.76,65629.00,30265.00,38146.00,0.00,0.00
1/05/2006,West Coast,Total,158.00,4976.00,154256.00,24.75,63108.00,46093.00,38185.00,0.00,0.00
1/06/2003,Northland,Total,233.00,9464.00,283920.00,13.67,63760.00,33357.00,38812.00,0.00,0.00
1/08/2002,Northland,Total,235.00,9956.00,308636.00,12.73,67537.00,33858.00,39301.00,0.00,0.00
1/09/2007,West Coast,Total,160.00,5132.00,153960.00,25.85,74411.00,53509.00,39794.00,0.00,0.00
1/12/2001,Bay of Plenty ,Total,92.00,4292.00,133052.00,30.13,94608.00,35070.00,40083.00,0.00,0.00
1/05/2007,West Coast,Total,160.00,5161.00,159991.00,25.10,67702.00,49419.00,40161.00,0.00,0.00
1/09/2004,West Coast,Total,147.00,4426.00,132780.00,30.58,76976.00,53233.00,40606.00,0.00,0.00
1/03/2004,Bay of Plenty ,Total,96.00,4323.00,134013.00,30.53,73907.00,33983.00,40912.00,0.00,0.00
1/03/2002,Bay of Plenty ,Total,91.00,4402.00,136462.00,30.21,85758.00,44636.00,41229.00,0.00,0.00
1/08/2003,Northland,Total,233.00,9475.00,293725.00,14.18,70392.00,37523.00,41647.00,0.00,0.00
1/03/2006,Bay of Plenty ,Total,99.00,4463.00,138353.00,30.10,74729.00,37806.00,41651.00,0.00,0.00
1/09/2001,Northland,Total,244.00,10469.00,314070.00,13.38,76017.00,41079.00,42024.00,0.00,0.00
1/05/2001,Northland,Total,242.00,10120.00,313720.00,13.43,68401.00,34143.00,42146.00,0.00,0.00
1/12/2003,Bay of Plenty ,Total,94.00,4363.00,135253.00,32.17,88529.00,35694.00,43514.00,0.00,0.00
1/08/2004,Northland,Total,235.00,9768.00,302808.00,14.42,71074.00,39940.00,43666.00,0.00,0.00
1/02/2004,Bay of Plenty ,Total,98.00,4398.00,127542.00,34.43,77047.00,33392.00,43911.00,0.00,0.00
1/09/2002,Northland,Total,243.00,10127.00,303810.00,14.51,79825.00,43741.00,44089.00,0.00,0.00
1/08/2005,Northland,Total,242.00,9603.00,297693.00,14.88,72655.00,39263.00,44295.00,0.00,0.00
1/06/2006,Northland,Total,245.00,9772.00,293160.00,15.24,71825.00,36858.00,44684.00,0.00,0.00
1/12/2002,Bay of Plenty ,Total,91.00,4424.00,137144.00,32.64,93616.00,32365.00,44757.00,0.00,0.00
1/08/2007,Northland,Total,252.00,9554.00,296174.00,15.18,75105.00,39394.00,44952.00,0.00,0.00
1/06/2005,Northland,Total,247.00,9944.00,298320.00,15.07,72904.00,37869.00,44964.00,0.00,0.00
1/02/2005,Bay of Plenty ,Total,103.00,4528.00,126784.00,35.57,81836.00,39356.00,45103.00,0.00,0.00
1/08/2006,Northland,Total,243.00,9785.00,303335.00,14.94,73438.00,39015.00,45322.00,0.00,0.00
1/12/2004,Bay of Plenty ,Total,101.00,4476.00,138756.00,32.89,91753.00,38441.00,45635.00,0.00,0.00
1/06/2007,Northland,Total,252.00,9401.00,282030.00,16.22,74607.00,38143.00,45732.00,0.00,0.00
1/02/2003,Bay of Plenty ,Total,92.00,4572.00,128016.00,35.74,80749.00,34239.00,45756.00,0.00,0.00
1/03/2005,Bay of Plenty ,Total,103.00,4540.00,140740.00,33.64,95059.00,42931.00,47350.00,0.00,0.00
1/02/2006,Bay of Plenty ,Total,100.00,4498.00,125944.00,37.79,88969.00,38908.00,47599.00,0.00,0.00
1/06/2004,Northland,Total,236.00,9997.00,299910.00,15.87,77014.00,40110.00,47603.00,0.00,0.00
1/02/2007,Bay of Plenty ,Total,101.00,4603.00,128884.00,37.04,94154.00,40989.00,47736.00,0.00,0.00
1/05/2002,Northland,Total,243.00,10248.00,317688.00,15.08,80690.00,40847.00,47908.00,0.00,0.00
1/12/2005,Bay of Plenty ,Total,100.00,4496.00,139376.00,34.60,99407.00,40994.00,48223.00,0.00,0.00
1/09/2003,Northland,Total,238.00,9595.00,287850.00,16.78,90204.00,51040.00,48289.00,0.00,0.00
1/03/2007,Bay of Plenty ,Total,99.00,4580.00,141980.00,34.36,91550.00,43015.00,48785.00,0.00,0.00
1/09/2004,Northland,Total,240.00,9815.00,294450.00,16.98,90050.00,49815.00,50009.00,0.00,0.00
1/05/2003,Northland,Total,236.00,9763.00,302653.00,16.73,84781.00,45919.00,50646.00,0.00,0.00
1/05/2006,Northland,Total,251.00,10218.00,316758.00,16.04,82061.00,41484.00,50816.00,0.00,0.00
1/12/2006,Bay of Plenty ,Total,101.00,4575.00,141825.00,36.35,109800.00,45141.00,51556.00,0.00,0.00
1/09/2005,Northland,Total,249.00,9711.00,291330.00,17.71,87348.00,46440.00,51580.00,0.00,0.00
1/09/2006,Northland,Total,251.00,9866.00,295980.00,17.43,91207.00,48644.00,51596.00,0.00,0.00
1/05/2005,Northland,Total,249.00,9933.00,307923.00,16.80,82747.00,43652.00,51739.00,0.00,0.00
1/05/2004,Northland,Total,241.00,10055.00,311705.00,16.83,83525.00,43662.00,52461.00,0.00,0.00
1/11/2001,West Coast,Total,141.00,4218.00,126540.00,42.01,91260.00,68505.00,53161.00,0.00,0.00
1/09/2007,Northland,Total,255.00,9514.00,285420.00,18.83,91722.00,47765.00,53753.00,0.00,0.00
1/12/2001,West Coast,Total,144.00,4270.00,132370.00,41.75,104396.00,73986.00,55268.00,0.00,0.00
1/05/2007,Northland,Total,256.00,9432.00,292392.00,19.28,89406.00,46047.00,56386.00,0.00,0.00
1/11/2002,West Coast,Total,147.00,4359.00,130770.00,43.78,100693.00,77011.00,57251.00,0.00,0.00
1/12/2002,West Coast,Total,146.00,4353.00,134943.00,43.20,112830.00,84125.00,58300.00,0.00,0.00
1/11/2003,West Coast,Total,146.00,4499.00,134970.00,44.58,106056.00,79943.00,60164.00,0.00,0.00
1/03/2001,West Coast,Total,144.00,4221.00,130851.00,48.96,115130.00,85924.00,64062.00,0.00,0.00
1/02/2002,West Coast,Total,145.00,4253.00,119084.00,55.11,115393.00,86567.00,65633.00,0.00,0.00
1/02/2001,West Coast,Total,143.00,4216.00,118048.00,56.84,117160.00,86316.00,67101.00,0.00,0.00
1/12/2003,West Coast,Total,146.00,4503.00,139593.00,48.11,130428.00,96874.00,67163.00,0.00,0.00
1/12/2005,West Coast,Total,158.00,4957.00,153667.00,43.71,126014.00,92921.00,67166.00,0.00,0.00
1/11/2006,West Coast,Total,157.00,5041.00,151230.00,44.53,118219.00,91229.00,67343.00,0.00,0.00
1/12/2004,West Coast,Total,150.00,4700.00,145700.00,46.25,130116.00,97894.00,67383.00,0.00,0.00
1/11/2004,West Coast,Total,149.00,4654.00,139620.00,48.41,118013.00,93871.00,67594.00,0.00,0.00
1/03/2002,West Coast,Total,147.00,4232.00,131192.00,51.66,121379.00,88360.00,67768.00,0.00,0.00
1/11/2005,West Coast,Total,158.00,4968.00,149040.00,45.71,116906.00,88594.00,68125.00,0.00,0.00
1/12/2006,West Coast,Total,158.00,5058.00,156798.00,43.68,131975.00,94926.00,68496.00,0.00,0.00
