STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C1,Number of Trips by Irish Residents,2001,2001,134,Caravan/camping,01,Domestic,Thousand,323
HTA05C1,Number of Trips by Irish Residents,2001,2001,134,Caravan/camping,02,Outbound,Thousand,166
HTA05C1,Number of Trips by Irish Residents,2001,2001,222,Friends/relatives,01,Domestic,Thousand,2241
HTA05C1,Number of Trips by Irish Residents,2001,2001,222,Friends/relatives,02,Outbound,Thousand,936
HTA05C1,Number of Trips by Irish Residents,2001,2001,224,Own holiday home,01,Domestic,Thousand,211
HTA05C1,Number of Trips by Irish Residents,2001,2001,224,Own holiday home,02,Outbound,Thousand,47
HTA05C1,Number of Trips by Irish Residents,2001,2001,92,Guest house/bed &breakfast,01,Domestic,Thousand,675
HTA05C1,Number of Trips by Irish Residents,2001,2001,92,Guest house/bed &breakfast,02,Outbound,Thousand,208
HTA05C1,Number of Trips by Irish Residents,2001,2001,93,Hotel/conference centre,01,Domestic,Thousand,2042
HTA05C1,Number of Trips by Irish Residents,2001,2001,93,Hotel/conference centre,02,Outbound,Thousand,1716
HTA05C1,Number of Trips by Irish Residents,2001,2001,94,Self catering/rented house,01,Domestic,Thousand,550
HTA05C1,Number of Trips by Irish Residents,2001,2001,94,Self catering/rented house,02,Outbound,Thousand,926
HTA05C1,Number of Trips by Irish Residents,2001,2001,999,Other,01,Domestic,Thousand,264
HTA05C1,Number of Trips by Irish Residents,2001,2001,999,Other,02,Outbound,Thousand,162
HTA05C2,Number of Nights by Irish Residents,2001,2001,-,All types of accommodation,01,Domestic,Thousand,23207
HTA05C2,Number of Nights by Irish Residents,2001,2001,-,All types of accommodation,02,Outbound,Thousand,37953
HTA05C2,Number of Nights by Irish Residents,2001,2001,134,Caravan/camping,01,Domestic,Thousand,2177
HTA05C2,Number of Nights by Irish Residents,2001,2001,134,Caravan/camping,02,Outbound,Thousand,2547
HTA05C2,Number of Nights by Irish Residents,2001,2001,222,Friends/relatives,01,Domestic,Thousand,7023
HTA05C2,Number of Nights by Irish Residents,2001,2001,222,Friends/relatives,02,Outbound,Thousand,7858
HTA05C2,Number of Nights by Irish Residents,2001,2001,224,Own holiday home,01,Domestic,Thousand,1405
HTA05C2,Number of Nights by Irish Residents,2001,2001,224,Own holiday home,02,Outbound,Thousand,639
HTA05C2,Number of Nights by Irish Residents,2001,2001,92,Guest house/bed &breakfast,01,Domestic,Thousand,2217
HTA05C2,Number of Nights by Irish Residents,2001,2001,92,Guest house/bed &breakfast,02,Outbound,Thousand,1469
HTA05C2,Number of Nights by Irish Residents,2001,2001,93,Hotel/conference centre,01,Domestic,Thousand,5316
HTA05C2,Number of Nights by Irish Residents,2001,2001,93,Hotel/conference centre,02,Outbound,Thousand,11367
HTA05C2,Number of Nights by Irish Residents,2001,2001,94,Self catering/rented house,01,Domestic,Thousand,3749
HTA05C2,Number of Nights by Irish Residents,2001,2001,94,Self catering/rented house,02,Outbound,Thousand,11538
HTA05C2,Number of Nights by Irish Residents,2001,2001,999,Other,01,Domestic,Thousand,1320
HTA05C2,Number of Nights by Irish Residents,2001,2001,999,Other,02,Outbound,Thousand,2535
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,-,All types of accommodation,01,Domestic,Nights per Trip,3.7
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,-,All types of accommodation,02,Outbound,Nights per Trip,9.1
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,134,Caravan/camping,01,Domestic,Nights per Trip,6.7
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,134,Caravan/camping,02,Outbound,Nights per Trip,15.3
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,222,Friends/relatives,01,Domestic,Nights per Trip,3.1
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,222,Friends/relatives,02,Outbound,Nights per Trip,8.4
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,224,Own holiday home,01,Domestic,Nights per Trip,6.7
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,224,Own holiday home,02,Outbound,Nights per Trip,13.6
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,3.3
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,7.1
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.6
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,94,Self catering/rented house,01,Domestic,Nights per Trip,6.8
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,94,Self catering/rented house,02,Outbound,Nights per Trip,12.5
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,999,Other,01,Domestic,Nights per Trip,5
HTA05C3,Average Length of Stay by Irish Residents,2001,2001,999,Other,02,Outbound,Nights per Trip,15.6
HTA05C1,Number of Trips by Irish Residents,2002,2002,-,All types of accommodation,01,Domestic,Thousand,6452
HTA05C1,Number of Trips by Irish Residents,2002,2002,-,All types of accommodation,02,Outbound,Thousand,4597
