STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C1,Number of Trips by Irish Residents,2005,2005,94,Self catering/rented house,02,Outbound,Thousand,1099
HTA05C1,Number of Trips by Irish Residents,2005,2005,999,Other,01,Domestic,Thousand,278
HTA05C1,Number of Trips by Irish Residents,2005,2005,999,Other,02,Outbound,Thousand,245
HTA05C2,Number of Nights by Irish Residents,2005,2005,-,All types of accommodation,01,Domestic,Thousand,24607
HTA05C2,Number of Nights by Irish Residents,2005,2005,-,All types of accommodation,02,Outbound,Thousand,51503
HTA05C2,Number of Nights by Irish Residents,2005,2005,134,Caravan/camping,01,Domestic,Thousand,1595
HTA05C2,Number of Nights by Irish Residents,2005,2005,134,Caravan/camping,02,Outbound,Thousand,2609
HTA05C2,Number of Nights by Irish Residents,2005,2005,222,Friends/relatives,01,Domestic,Thousand,7562
HTA05C2,Number of Nights by Irish Residents,2005,2005,222,Friends/relatives,02,Outbound,Thousand,11617
HTA05C2,Number of Nights by Irish Residents,2005,2005,224,Own holiday home,01,Domestic,Thousand,2174
HTA05C2,Number of Nights by Irish Residents,2005,2005,224,Own holiday home,02,Outbound,Thousand,2369
HTA05C2,Number of Nights by Irish Residents,2005,2005,92,Guest house/bed &breakfast,01,Domestic,Thousand,1816
HTA05C2,Number of Nights by Irish Residents,2005,2005,92,Guest house/bed &breakfast,02,Outbound,Thousand,1766
HTA05C2,Number of Nights by Irish Residents,2005,2005,93,Hotel/conference centre,01,Domestic,Thousand,6358
HTA05C2,Number of Nights by Irish Residents,2005,2005,93,Hotel/conference centre,02,Outbound,Thousand,16965
HTA05C2,Number of Nights by Irish Residents,2005,2005,94,Self catering/rented house,01,Domestic,Thousand,3582
HTA05C2,Number of Nights by Irish Residents,2005,2005,94,Self catering/rented house,02,Outbound,Thousand,12601
HTA05C2,Number of Nights by Irish Residents,2005,2005,999,Other,01,Domestic,Thousand,1520
HTA05C2,Number of Nights by Irish Residents,2005,2005,999,Other,02,Outbound,Thousand,3579
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,-,All types of accommodation,01,Domestic,Nights per Trip,3.4
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,-,All types of accommodation,02,Outbound,Nights per Trip,8.3
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,134,Caravan/camping,01,Domestic,Nights per Trip,5.4
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,134,Caravan/camping,02,Outbound,Nights per Trip,12.5
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,222,Friends/relatives,01,Domestic,Nights per Trip,3.1
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,222,Friends/relatives,02,Outbound,Nights per Trip,8.3
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,224,Own holiday home,01,Domestic,Nights per Trip,6
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,224,Own holiday home,02,Outbound,Nights per Trip,13.5
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.7
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.8
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.4
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.1
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,94,Self catering/rented house,01,Domestic,Nights per Trip,6.5
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,94,Self catering/rented house,02,Outbound,Nights per Trip,11.5
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,999,Other,01,Domestic,Nights per Trip,5.5
HTA05C3,Average Length of Stay by Irish Residents,2005,2005,999,Other,02,Outbound,Nights per Trip,14.6
HTA05C1,Number of Trips by Irish Residents,2006,2006,-,All types of accommodation,01,Domestic,Thousand,7310
HTA05C1,Number of Trips by Irish Residents,2006,2006,-,All types of accommodation,02,Outbound,Thousand,6981
HTA05C1,Number of Trips by Irish Residents,2006,2006,134,Caravan/camping,01,Domestic,Thousand,279
HTA05C1,Number of Trips by Irish Residents,2006,2006,134,Caravan/camping,02,Outbound,Thousand,187
HTA05C1,Number of Trips by Irish Residents,2006,2006,222,Friends/relatives,01,Domestic,Thousand,2529
HTA05C1,Number of Trips by Irish Residents,2006,2006,222,Friends/relatives,02,Outbound,Thousand,1636
HTA05C1,Number of Trips by Irish Residents,2006,2006,224,Own holiday home,01,Domestic,Thousand,419
HTA05C1,Number of Trips by Irish Residents,2006,2006,224,Own holiday home,02,Outbound,Thousand,282
HTA05C1,Number of Trips by Irish Residents,2006,2006,92,Guest house/bed &breakfast,01,Domestic,Thousand,531
HTA05C1,Number of Trips by Irish Residents,2006,2006,92,Guest house/bed &breakfast,02,Outbound,Thousand,231
HTA05C1,Number of Trips by Irish Residents,2006,2006,93,Hotel/conference centre,01,Domestic,Thousand,2847
HTA05C1,Number of Trips by Irish Residents,2006,2006,93,Hotel/conference centre,02,Outbound,Thousand,3179
HTA05C1,Number of Trips by Irish Residents,2006,2006,94,Self catering/rented house,01,Domestic,Thousand,480
HTA05C1,Number of Trips by Irish Residents,2006,2006,94,Self catering/rented house,02,Outbound,Thousand,1212
HTA05C1,Number of Trips by Irish Residents,2006,2006,999,Other,01,Domestic,Thousand,224
HTA05C1,Number of Trips by Irish Residents,2006,2006,999,Other,02,Outbound,Thousand,253
HTA05C2,Number of Nights by Irish Residents,2006,2006,-,All types of accommodation,01,Domestic,Thousand,24203
HTA05C2,Number of Nights by Irish Residents,2006,2006,-,All types of accommodation,02,Outbound,Thousand,54266
HTA05C2,Number of Nights by Irish Residents,2006,2006,134,Caravan/camping,01,Domestic,Thousand,1693
HTA05C2,Number of Nights by Irish Residents,2006,2006,134,Caravan/camping,02,Outbound,Thousand,2349
HTA05C2,Number of Nights by Irish Residents,2006,2006,222,Friends/relatives,01,Domestic,Thousand,7653
HTA05C2,Number of Nights by Irish Residents,2006,2006,222,Friends/relatives,02,Outbound,Thousand,12716
HTA05C2,Number of Nights by Irish Residents,2006,2006,224,Own holiday home,01,Domestic,Thousand,2459
HTA05C2,Number of Nights by Irish Residents,2006,2006,224,Own holiday home,02,Outbound,Thousand,3578
HTA05C2,Number of Nights by Irish Residents,2006,2006,92,Guest house/bed &breakfast,01,Domestic,Thousand,1542
HTA05C2,Number of Nights by Irish Residents,2006,2006,92,Guest house/bed &breakfast,02,Outbound,Thousand,1653
HTA05C2,Number of Nights by Irish Residents,2006,2006,93,Hotel/conference centre,01,Domestic,Thousand,6436
HTA05C2,Number of Nights by Irish Residents,2006,2006,93,Hotel/conference centre,02,Outbound,Thousand,18289
HTA05C2,Number of Nights by Irish Residents,2006,2006,94,Self catering/rented house,01,Domestic,Thousand,3298
HTA05C2,Number of Nights by Irish Residents,2006,2006,94,Self catering/rented house,02,Outbound,Thousand,12675
HTA05C2,Number of Nights by Irish Residents,2006,2006,999,Other,01,Domestic,Thousand,1122
HTA05C2,Number of Nights by Irish Residents,2006,2006,999,Other,02,Outbound,Thousand,3006
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,-,All types of accommodation,01,Domestic,Nights per Trip,3.3
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,-,All types of accommodation,02,Outbound,Nights per Trip,7.8
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,134,Caravan/camping,01,Domestic,Nights per Trip,6.1
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,134,Caravan/camping,02,Outbound,Nights per Trip,12.6
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,222,Friends/relatives,01,Domestic,Nights per Trip,3
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,222,Friends/relatives,02,Outbound,Nights per Trip,7.8
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,224,Own holiday home,01,Domestic,Nights per Trip,5.9
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,224,Own holiday home,02,Outbound,Nights per Trip,12.7
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,7.2
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.3
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.8
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,94,Self catering/rented house,01,Domestic,Nights per Trip,6.9
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,94,Self catering/rented house,02,Outbound,Nights per Trip,10.5
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,999,Other,01,Domestic,Nights per Trip,5
HTA05C3,Average Length of Stay by Irish Residents,2006,2006,999,Other,02,Outbound,Nights per Trip,11.9
HTA05C1,Number of Trips by Irish Residents,2007,2007,-,All types of accommodation,01,Domestic,Thousand,7942
HTA05C1,Number of Trips by Irish Residents,2007,2007,-,All types of accommodation,02,Outbound,Thousand,7830
HTA05C1,Number of Trips by Irish Residents,2007,2007,134,Caravan/camping,01,Domestic,Thousand,305
HTA05C1,Number of Trips by Irish Residents,2007,2007,134,Caravan/camping,02,Outbound,Thousand,215
HTA05C1,Number of Trips by Irish Residents,2007,2007,222,Friends/relatives,01,Domestic,Thousand,2653
HTA05C1,Number of Trips by Irish Residents,2007,2007,222,Friends/relatives,02,Outbound,Thousand,1721
HTA05C1,Number of Trips by Irish Residents,2007,2007,224,Own holiday home,01,Domestic,Thousand,489
HTA05C1,Number of Trips by Irish Residents,2007,2007,224,Own holiday home,02,Outbound,Thousand,313
HTA05C1,Number of Trips by Irish Residents,2007,2007,92,Guest house/bed &breakfast,01,Domestic,Thousand,521
HTA05C1,Number of Trips by Irish Residents,2007,2007,92,Guest house/bed &breakfast,02,Outbound,Thousand,267
HTA05C1,Number of Trips by Irish Residents,2007,2007,93,Hotel/conference centre,01,Domestic,Thousand,3201
HTA05C1,Number of Trips by Irish Residents,2007,2007,93,Hotel/conference centre,02,Outbound,Thousand,3670
HTA05C1,Number of Trips by Irish Residents,2007,2007,94,Self catering/rented house,01,Domestic,Thousand,556
HTA05C1,Number of Trips by Irish Residents,2007,2007,94,Self catering/rented house,02,Outbound,Thousand,1385
HTA05C1,Number of Trips by Irish Residents,2007,2007,999,Other,01,Domestic,Thousand,217
HTA05C1,Number of Trips by Irish Residents,2007,2007,999,Other,02,Outbound,Thousand,259
HTA05C2,Number of Nights by Irish Residents,2007,2007,-,All types of accommodation,01,Domestic,Thousand,26328
HTA05C2,Number of Nights by Irish Residents,2007,2007,-,All types of accommodation,02,Outbound,Thousand,62236
HTA05C2,Number of Nights by Irish Residents,2007,2007,134,Caravan/camping,01,Domestic,Thousand,2077
HTA05C2,Number of Nights by Irish Residents,2007,2007,134,Caravan/camping,02,Outbound,Thousand,2647
HTA05C2,Number of Nights by Irish Residents,2007,2007,222,Friends/relatives,01,Domestic,Thousand,7812
HTA05C2,Number of Nights by Irish Residents,2007,2007,222,Friends/relatives,02,Outbound,Thousand,13509
HTA05C2,Number of Nights by Irish Residents,2007,2007,224,Own holiday home,01,Domestic,Thousand,2772
HTA05C2,Number of Nights by Irish Residents,2007,2007,224,Own holiday home,02,Outbound,Thousand,4031
HTA05C2,Number of Nights by Irish Residents,2007,2007,92,Guest house/bed &breakfast,01,Domestic,Thousand,1432
HTA05C2,Number of Nights by Irish Residents,2007,2007,92,Guest house/bed &breakfast,02,Outbound,Thousand,1836
HTA05C2,Number of Nights by Irish Residents,2007,2007,93,Hotel/conference centre,01,Domestic,Thousand,7359
HTA05C2,Number of Nights by Irish Residents,2007,2007,93,Hotel/conference centre,02,Outbound,Thousand,22623
HTA05C2,Number of Nights by Irish Residents,2007,2007,94,Self catering/rented house,01,Domestic,Thousand,3500
HTA05C2,Number of Nights by Irish Residents,2007,2007,94,Self catering/rented house,02,Outbound,Thousand,14272
HTA05C2,Number of Nights by Irish Residents,2007,2007,999,Other,01,Domestic,Thousand,1376
HTA05C2,Number of Nights by Irish Residents,2007,2007,999,Other,02,Outbound,Thousand,3319
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,-,All types of accommodation,01,Domestic,Nights per Trip,3.3
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,-,All types of accommodation,02,Outbound,Nights per Trip,7.9
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,134,Caravan/camping,01,Domestic,Nights per Trip,6.8
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,134,Caravan/camping,02,Outbound,Nights per Trip,12.3
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,222,Friends/relatives,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,222,Friends/relatives,02,Outbound,Nights per Trip,7.8
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,224,Own holiday home,01,Domestic,Nights per Trip,5.7
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,224,Own holiday home,02,Outbound,Nights per Trip,12.9
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.7
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.9
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.3
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.2
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,94,Self catering/rented house,01,Domestic,Nights per Trip,6.3
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,94,Self catering/rented house,02,Outbound,Nights per Trip,10.3
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,999,Other,01,Domestic,Nights per Trip,6.3
HTA05C3,Average Length of Stay by Irish Residents,2007,2007,999,Other,02,Outbound,Nights per Trip,12.8
HTA05C1,Number of Trips by Irish Residents,2008,2008,-,All types of accommodation,01,Domestic,Thousand,8339
HTA05C1,Number of Trips by Irish Residents,2008,2008,-,All types of accommodation,02,Outbound,Thousand,8042
HTA05C1,Number of Trips by Irish Residents,2008,2008,134,Caravan/camping,01,Domestic,Thousand,323
HTA05C1,Number of Trips by Irish Residents,2008,2008,134,Caravan/camping,02,Outbound,Thousand,246
HTA05C1,Number of Trips by Irish Residents,2008,2008,222,Friends/relatives,01,Domestic,Thousand,2818
HTA05C1,Number of Trips by Irish Residents,2008,2008,222,Friends/relatives,02,Outbound,Thousand,1923
HTA05C1,Number of Trips by Irish Residents,2008,2008,224,Own holiday home,01,Domestic,Thousand,521
HTA05C1,Number of Trips by Irish Residents,2008,2008,224,Own holiday home,02,Outbound,Thousand,318
HTA05C1,Number of Trips by Irish Residents,2008,2008,92,Guest house/bed &breakfast,01,Domestic,Thousand,479
HTA05C1,Number of Trips by Irish Residents,2008,2008,92,Guest house/bed &breakfast,02,Outbound,Thousand,280
HTA05C1,Number of Trips by Irish Residents,2008,2008,93,Hotel/conference centre,01,Domestic,Thousand,3430
HTA05C1,Number of Trips by Irish Residents,2008,2008,93,Hotel/conference centre,02,Outbound,Thousand,3680
HTA05C1,Number of Trips by Irish Residents,2008,2008,94,Self catering/rented house,01,Domestic,Thousand,541
HTA05C1,Number of Trips by Irish Residents,2008,2008,94,Self catering/rented house,02,Outbound,Thousand,1326
HTA05C1,Number of Trips by Irish Residents,2008,2008,999,Other,01,Domestic,Thousand,228
HTA05C1,Number of Trips by Irish Residents,2008,2008,999,Other,02,Outbound,Thousand,267
HTA05C2,Number of Nights by Irish Residents,2008,2008,-,All types of accommodation,01,Domestic,Thousand,26195
HTA05C2,Number of Nights by Irish Residents,2008,2008,-,All types of accommodation,02,Outbound,Thousand,63498
HTA05C2,Number of Nights by Irish Residents,2008,2008,134,Caravan/camping,01,Domestic,Thousand,1930
HTA05C2,Number of Nights by Irish Residents,2008,2008,134,Caravan/camping,02,Outbound,Thousand,2833
HTA05C2,Number of Nights by Irish Residents,2008,2008,222,Friends/relatives,01,Domestic,Thousand,7986
HTA05C2,Number of Nights by Irish Residents,2008,2008,222,Friends/relatives,02,Outbound,Thousand,14996
HTA05C2,Number of Nights by Irish Residents,2008,2008,224,Own holiday home,01,Domestic,Thousand,3048
HTA05C2,Number of Nights by Irish Residents,2008,2008,224,Own holiday home,02,Outbound,Thousand,4035
HTA05C2,Number of Nights by Irish Residents,2008,2008,92,Guest house/bed &breakfast,01,Domestic,Thousand,1178
HTA05C2,Number of Nights by Irish Residents,2008,2008,92,Guest house/bed &breakfast,02,Outbound,Thousand,1768
HTA05C2,Number of Nights by Irish Residents,2008,2008,93,Hotel/conference centre,01,Domestic,Thousand,7616
HTA05C2,Number of Nights by Irish Residents,2008,2008,93,Hotel/conference centre,02,Outbound,Thousand,21634
HTA05C2,Number of Nights by Irish Residents,2008,2008,94,Self catering/rented house,01,Domestic,Thousand,3238
HTA05C2,Number of Nights by Irish Residents,2008,2008,94,Self catering/rented house,02,Outbound,Thousand,14528
HTA05C2,Number of Nights by Irish Residents,2008,2008,999,Other,01,Domestic,Thousand,1198
HTA05C2,Number of Nights by Irish Residents,2008,2008,999,Other,02,Outbound,Thousand,3706
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,-,All types of accommodation,01,Domestic,Nights per Trip,3.1
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,-,All types of accommodation,02,Outbound,Nights per Trip,7.9
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,134,Caravan/camping,01,Domestic,Nights per Trip,6
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,134,Caravan/camping,02,Outbound,Nights per Trip,11.5
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,222,Friends/relatives,01,Domestic,Nights per Trip,2.8
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,222,Friends/relatives,02,Outbound,Nights per Trip,7.8
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,224,Own holiday home,01,Domestic,Nights per Trip,5.9
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,224,Own holiday home,02,Outbound,Nights per Trip,12.7
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.5
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.3
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.2
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.9
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,94,Self catering/rented house,01,Domestic,Nights per Trip,6
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,94,Self catering/rented house,02,Outbound,Nights per Trip,11
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,999,Other,01,Domestic,Nights per Trip,5.3
HTA05C3,Average Length of Stay by Irish Residents,2008,2008,999,Other,02,Outbound,Nights per Trip,13.9
HTA05C1,Number of Trips by Irish Residents,2009,2009,-,All types of accommodation,01,Domestic,Thousand,8340
HTA05C1,Number of Trips by Irish Residents,2009,2009,-,All types of accommodation,02,Outbound,Thousand,7292
HTA05C1,Number of Trips by Irish Residents,2009,2009,134,Caravan/camping,01,Domestic,Thousand,309
HTA05C1,Number of Trips by Irish Residents,2009,2009,134,Caravan/camping,02,Outbound,Thousand,235
HTA05C1,Number of Trips by Irish Residents,2009,2009,222,Friends/relatives,01,Domestic,Thousand,2936
HTA05C1,Number of Trips by Irish Residents,2009,2009,222,Friends/relatives,02,Outbound,Thousand,1953
HTA05C1,Number of Trips by Irish Residents,2009,2009,224,Own holiday home,01,Domestic,Thousand,498
HTA05C1,Number of Trips by Irish Residents,2009,2009,224,Own holiday home,02,Outbound,Thousand,304
HTA05C1,Number of Trips by Irish Residents,2009,2009,92,Guest house/bed &breakfast,01,Domestic,Thousand,384
HTA05C1,Number of Trips by Irish Residents,2009,2009,92,Guest house/bed &breakfast,02,Outbound,Thousand,228
HTA05C1,Number of Trips by Irish Residents,2009,2009,93,Hotel/conference centre,01,Domestic,Thousand,3443
HTA05C1,Number of Trips by Irish Residents,2009,2009,93,Hotel/conference centre,02,Outbound,Thousand,3139
HTA05C1,Number of Trips by Irish Residents,2009,2009,94,Self catering/rented house,01,Domestic,Thousand,502
HTA05C1,Number of Trips by Irish Residents,2009,2009,94,Self catering/rented house,02,Outbound,Thousand,1172
HTA05C1,Number of Trips by Irish Residents,2009,2009,999,Other,01,Domestic,Thousand,268
HTA05C1,Number of Trips by Irish Residents,2009,2009,999,Other,02,Outbound,Thousand,261
HTA05C2,Number of Nights by Irish Residents,2009,2009,-,All types of accommodation,01,Domestic,Thousand,26027
HTA05C2,Number of Nights by Irish Residents,2009,2009,-,All types of accommodation,02,Outbound,Thousand,55667
HTA05C2,Number of Nights by Irish Residents,2009,2009,134,Caravan/camping,01,Domestic,Thousand,1512
HTA05C2,Number of Nights by Irish Residents,2009,2009,134,Caravan/camping,02,Outbound,Thousand,2899
HTA05C2,Number of Nights by Irish Residents,2009,2009,222,Friends/relatives,01,Domestic,Thousand,8187
HTA05C2,Number of Nights by Irish Residents,2009,2009,222,Friends/relatives,02,Outbound,Thousand,14809
HTA05C2,Number of Nights by Irish Residents,2009,2009,224,Own holiday home,01,Domestic,Thousand,3074
HTA05C2,Number of Nights by Irish Residents,2009,2009,224,Own holiday home,02,Outbound,Thousand,3629
HTA05C2,Number of Nights by Irish Residents,2009,2009,92,Guest house/bed &breakfast,01,Domestic,Thousand,1013
HTA05C2,Number of Nights by Irish Residents,2009,2009,92,Guest house/bed &breakfast,02,Outbound,Thousand,1570
HTA05C2,Number of Nights by Irish Residents,2009,2009,93,Hotel/conference centre,01,Domestic,Thousand,7438
HTA05C2,Number of Nights by Irish Residents,2009,2009,93,Hotel/conference centre,02,Outbound,Thousand,16893
HTA05C2,Number of Nights by Irish Residents,2009,2009,94,Self catering/rented house,01,Domestic,Thousand,3171
HTA05C2,Number of Nights by Irish Residents,2009,2009,94,Self catering/rented house,02,Outbound,Thousand,12396
HTA05C2,Number of Nights by Irish Residents,2009,2009,999,Other,01,Domestic,Thousand,1631
HTA05C2,Number of Nights by Irish Residents,2009,2009,999,Other,02,Outbound,Thousand,3471
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,-,All types of accommodation,01,Domestic,Nights per Trip,3.1
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,-,All types of accommodation,02,Outbound,Nights per Trip,7.6
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,134,Caravan/camping,01,Domestic,Nights per Trip,4.9
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,134,Caravan/camping,02,Outbound,Nights per Trip,12.3
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,222,Friends/relatives,01,Domestic,Nights per Trip,2.8
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,222,Friends/relatives,02,Outbound,Nights per Trip,7.6
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,224,Own holiday home,01,Domestic,Nights per Trip,6.2
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,224,Own holiday home,02,Outbound,Nights per Trip,11.9
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.6
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,6.9
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.2
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,93,Hotel/conference centre,02,Outbound,Nights per Trip,5.4
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,94,Self catering/rented house,01,Domestic,Nights per Trip,6.3
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,94,Self catering/rented house,02,Outbound,Nights per Trip,10.6
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,999,Other,01,Domestic,Nights per Trip,6.1
HTA05C3,Average Length of Stay by Irish Residents,2009,2009,999,Other,02,Outbound,Nights per Trip,13.3
HTA05C1,Number of Trips by Irish Residents,2010,2010,-,All types of accommodation,01,Domestic,Thousand,7300
HTA05C1,Number of Trips by Irish Residents,2010,2010,-,All types of accommodation,02,Outbound,Thousand,6917
HTA05C1,Number of Trips by Irish Residents,2010,2010,134,Caravan/camping,01,Domestic,Thousand,560
HTA05C1,Number of Trips by Irish Residents,2010,2010,134,Caravan/camping,02,Outbound,Thousand,262
HTA05C1,Number of Trips by Irish Residents,2010,2010,222,Friends/relatives,01,Domestic,Thousand,2044
HTA05C1,Number of Trips by Irish Residents,2010,2010,222,Friends/relatives,02,Outbound,Thousand,1713
HTA05C1,Number of Trips by Irish Residents,2010,2010,224,Own holiday home,01,Domestic,Thousand,596
HTA05C1,Number of Trips by Irish Residents,2010,2010,224,Own holiday home,02,Outbound,Thousand,206
HTA05C1,Number of Trips by Irish Residents,2010,2010,92,Guest house/bed &breakfast,01,Domestic,Thousand,311
HTA05C1,Number of Trips by Irish Residents,2010,2010,92,Guest house/bed &breakfast,02,Outbound,Thousand,222
HTA05C1,Number of Trips by Irish Residents,2010,2010,93,Hotel/conference centre,01,Domestic,Thousand,3040
HTA05C1,Number of Trips by Irish Residents,2010,2010,93,Hotel/conference centre,02,Outbound,Thousand,3011
HTA05C1,Number of Trips by Irish Residents,2010,2010,94,Self catering/rented house,01,Domestic,Thousand,561
HTA05C1,Number of Trips by Irish Residents,2010,2010,94,Self catering/rented house,02,Outbound,Thousand,1238
HTA05C1,Number of Trips by Irish Residents,2010,2010,999,Other,01,Domestic,Thousand,187
HTA05C1,Number of Trips by Irish Residents,2010,2010,999,Other,02,Outbound,Thousand,264
HTA05C2,Number of Nights by Irish Residents,2010,2010,-,All types of accommodation,01,Domestic,Thousand,22540
HTA05C2,Number of Nights by Irish Residents,2010,2010,-,All types of accommodation,02,Outbound,Thousand,57473
HTA05C2,Number of Nights by Irish Residents,2010,2010,134,Caravan/camping,01,Domestic,Thousand,2618
HTA05C2,Number of Nights by Irish Residents,2010,2010,134,Caravan/camping,02,Outbound,Thousand,3779
HTA05C2,Number of Nights by Irish Residents,2010,2010,222,Friends/relatives,01,Domestic,Thousand,6036
HTA05C2,Number of Nights by Irish Residents,2010,2010,222,Friends/relatives,02,Outbound,Thousand,14532
HTA05C2,Number of Nights by Irish Residents,2010,2010,224,Own holiday home,01,Domestic,Thousand,2886
HTA05C2,Number of Nights by Irish Residents,2010,2010,224,Own holiday home,02,Outbound,Thousand,2558
HTA05C2,Number of Nights by Irish Residents,2010,2010,92,Guest house/bed &breakfast,01,Domestic,Thousand,735
HTA05C2,Number of Nights by Irish Residents,2010,2010,92,Guest house/bed &breakfast,02,Outbound,Thousand,1364
HTA05C2,Number of Nights by Irish Residents,2010,2010,93,Hotel/conference centre,01,Domestic,Thousand,6590
HTA05C2,Number of Nights by Irish Residents,2010,2010,93,Hotel/conference centre,02,Outbound,Thousand,18389
HTA05C2,Number of Nights by Irish Residents,2010,2010,94,Self catering/rented house,01,Domestic,Thousand,2891
HTA05C2,Number of Nights by Irish Residents,2010,2010,94,Self catering/rented house,02,Outbound,Thousand,13982
HTA05C2,Number of Nights by Irish Residents,2010,2010,999,Other,01,Domestic,Thousand,783
