SA2_CODE21,SA2_NAME21,longitude,latitude,CBR_drive_minutes,SYD_drive_minutes,MEL_drive_minutes,CBR_drive_km,SYD_drive_km,MEL_drive_km
101021007,Braidwood,149.75347324999356,-35.51038317,78.352,192.25933333333333,466.1293333333333,87.78811,281.76115999999996,723.61063
101021008,Karabar,149.23372365900593,-35.37554246,20.851666666666667,190.9525,436.97766666666666,12.126,282.18940999999995,675.20588
101021009,Queanbeyan,149.2253256670851,-35.35232286,15.231333333333334,187.051,433.07616666666667,9.56849,279.62844,672.6449399999999
101021010,Queanbeyan - East,149.25152562579092,-35.3606541,19.733666666666668,188.46983333333336,434.495,10.608649999999999,279.36234,672.37881
101021012,Queanbeyan West - Jerrabomberra,149.20150864847733,-35.37693802,23.449166666666667,194.92783333333333,440.33866666666665,16.644689999999997,289.49988,674.28044
101021610,Googong,149.23629739986325,-35.42688862,31.78966666666667,200.5256666666667,446.55083333333334,20.542150000000003,289.29584,682.31231
101021611,Queanbeyan Surrounds,149.36820689652245,-35.42998959,34.592333333333336,203.32833333333335,449.3535,28.24654,297.00021999999996,690.0166899999999
101031013,Bombala,149.0683643,-36.92340083,182.35766666666666,353.83633333333336,440.9635,221.99052,494.84569,572.39463
101031014,Cooma,149.12203218081268,-36.25132255,96.905,268.38366666666667,435.7725,116.51063,389.36581,630.86425
101031015,Cooma Surrounds,149.17228146975918,-36.12945524,124.0411667,295.5199167,453.7138333,150.07158,422.926765,657.906
101031016,Jindabyne - Berridale,148.57687083796085,-36.48018818,151.17733333333334,322.65616666666665,471.6551666666667,183.63253,456.48771999999997,684.94775
101041017,Batemans Bay,150.22236388344055,-35.69778911,126.76133333333334,231.19816666666665,514.5385,145.27448,265.10709,781.097
101041018,Batemans Bay - South,150.21190100635576,-35.78057676,136.2495,250.02783333333335,524.0266666666666,152.01205,280.03790999999995,787.83456
101041019,Bega - Tathra,149.9054673145265,-36.73343293,182.95466666666667,354.43333333333334,482.8401666666667,234.37192000000002,507.22709000000003,634.5303100000001
101041020,Bega-Eden Hinterland,149.65511656500186,-36.90735295,186.61766666666665,358.0963333333333,461.0455,233.62205,506.47722,610.0135600000001
101041021,Broulee - Tomakin,150.15532753765544,-35.84685224,140.23066666666668,254.00900000000001,528.0078333333333,161.18851999999998,289.21438,797.01106
101041022,Deua - Wadbilliga,149.7355880816849,-36.18229997,222.1765,358.51416666666665,570.0598333333332,187.56670000000003,361.02078,708.64981
101041023,Eden,149.89349670084596,-37.03253269,213.9875,385.4661666666667,442.3861666666666,259.52407999999997,532.37925,582.28244
101041024,Eurobodalla Hinterland,150.0511549499943,-35.845567,151.95583333333335,265.7341666666667,539.733,170.17863,298.2045,806.00119
101041025,Merimbula - Tura Beach,149.8644524851657,-36.90936802,192.26749999999998,363.7461666666667,460.3793333333333,239.99684,512.85203,600.89525
101041026,Moruya - Tuross Head,150.1039818991963,-35.9572839,151.63033333333334,265.40883333333335,539.4076666666666,172.84991,300.87578,808.6724399999999
101041027,Narooma - Bermagui,150.0683002168332,-36.33241396,193.92000000000002,307.6983333333334,523.3903333333333,225.0273,353.05316,690.37069
101051539,Goulburn,149.7269812897415,-34.74421025,69.764,122.13966666666667,417.566,93.28024,183.93063,671.1005
101051540,Goulburn Surrounds,149.62651263692405,-34.48417722,110.04566666666666,165.93383333333335,440.14616666666666,129.72302,221.4913,690.2868100000001
101061541,Yass,148.90915996666797,-34.82459584,72.2235,176.01816666666667,363.3941666666667,73.27121000000001,269.95053,588.52431
101061542,Yass Surrounds,148.9268162818336,-34.8813177,72.22283333333333,176.01733333333334,374.0006666666667,73.58489,270.26421999999997,595.2395600000001
101061543,Young,148.34363824605907,-34.32609187,147.2131666666667,247.51000000000002,380.28783333333337,176.31359,368.19788,595.76144
101061544,Young Surrounds,148.78819812101025,-34.34538306,202.64775,179.2234167,493.0860833,272.64575,238.272205,771.279785
102011028,Avoca Beach - Copacabana,151.4268258507663,-33.47388685,258.08233333333334,110.93683333333334,605.8843333333333,368.97790999999995,108.34653,946.79813
102011029,Box Head - MacMasters Beach,151.3945548746211,-33.50813409,255.792,108.6465,603.5939999999999,369.6915,109.06013,947.51175
102011030,Calga - Kulnura,151.14323568135703,-33.3471969,293.0815,145.936,640.8833333333333,387.57075,126.93938,965.391
102011031,Erina - Green Point,151.40626805429295,-33.42336294,247.17950000000002,100.034,594.9815,360.91040999999996,100.27902,938.73063
102011032,Gosford - Springfield,151.35668322443706,-33.42619648,241.36333333333332,94.21766666666667,589.1651666666668,355.82541,95.19403999999999,933.64563
102011033,Kariong,151.2888219147645,-33.43995962,227.783,80.6375,575.5849999999999,348.69203000000005,88.06066,926.51225
102011034,Kincumber - Picketts Valley,151.39843933152713,-33.47132173,252.62483333333333,105.47933333333334,600.4268333333333,364.42694,103.79556,942.2471899999999
102011035,Narara,151.33334465433097,-33.39594064,240.108,92.9625,587.91,355.95703000000003,95.32567,933.77725
102011036,Niagara Park - Lisarow,151.3779927,-33.38452274,239.29833333333332,92.15283333333333,587.1003333333333,363.95425,103.32287,941.7745
102011037,Point Clare - Koolewong,151.31148706505874,-33.45470414,239.488,92.3425,587.2900000000001,355.34081,94.70945,933.16106
102011038,Saratoga - Davistown,151.35596820557643,-33.47916916,249.3555,102.21000000000001,597.1574999999999,362.936,102.30463,940.75625
102011039,Terrigal - North Avoca,151.42750478860117,-33.44565059,252.37983333333335,105.23433333333334,600.1818333333334,363.88509000000005,103.25371000000001,941.70531
102011040,Umina - Booker Bay - Patonga,151.29108660356195,-33.53032713,249.76333333333332,102.61783333333332,597.5653333333333,364.59825,103.96689,942.4185
102011041,Wamberal - Forresters Beach,151.4607076366707,-33.4061691,254.74183333333335,107.59633333333333,602.5438333333333,366.40644,105.77505000000001,944.22669
102011042,Woy Woy - Blackwall,151.29627124020996,-33.48366577,238.02100000000002,90.8755,585.823,354.86546999999996,94.23409,932.6856899999999
102011043,Wyoming,151.3653659746149,-33.4045291,240.36233333333334,93.21683333333334,588.1643333333334,357.13897,96.50759,934.9591899999999
102021044,Bateau Bay - Killarney Vale,151.46902071960312,-33.37689053,251.4435,104.298,599.2455000000001,372.95581,112.32445,950.77606
102021045,Blue Haven - San Remo,151.52510877340677,-33.20579339,248.63583333333332,101.49033333333334,596.4378333333333,384.65947,124.02808999999999,962.4796899999999
102021046,Budgewoi - Buff Point - Halekulani,151.54809487413468,-33.22491258,253.70916666666665,106.56366666666666,601.5111666666667,388.71605999999997,128.0847,966.5363100000001
102021047,Chittaway Bay - Tumbi Umbi,151.42960304971353,-33.3541379,247.14,99.9945,594.9419999999999,370.18053000000003,109.54916,948.00075
